                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8972,                 3.5265,                 1.2339,                0.31045,                0.47641,                 0.3357,                0.27314,                      0,                    inf,                      0,               0.070136,              0.0033183,              0.0033183
                      1,                0.73145,                  1.686,                 1.0735,                0.47512,                0.55478,                0.53122,                 0.4342,                      0,                    inf,                      0,               0.040092,              0.0066077,              0.0066077
                      2,                0.77474,                 1.4544,                 1.0797,                0.56551,                0.53866,                0.55255,                0.42533,                      0,                    inf,                      0,               0.010004,              0.0098531,              0.0098531
                      3,                0.80339,                 1.3741,                 1.1069,                0.72696,                0.66201,                0.72139,                0.58428,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      4,                0.79016,                 1.2555,                 1.0944,                0.75438,                0.68525,                0.74835,                0.59376,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      5,                0.77748,                 1.1594,                 1.0907,                0.81399,                0.71225,                0.81363,                0.67411,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                      6,                0.76333,                 1.0941,                 1.0725,                0.85249,                0.71454,                0.81157,                0.67238,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                      7,                0.75177,                  1.037,                 1.0652,                0.87068,                0.76298,                0.85645,                0.71317,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      8,                0.73686,                 1.0145,                 1.0661,                 0.8825,                0.76272,                0.85957,                0.71283,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                      9,                0.72644,                0.98016,                 1.0591,                0.93237,                0.77889,                0.87488,                0.72911,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
                     10,                 0.7208,                0.94915,                 1.0516,                0.88307,                0.80333,                0.87994,                0.73134,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     11,                0.70541,                0.88864,                 1.0438,                0.92512,                0.80953,                0.88756,                0.74293,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     12,                0.69752,                0.88119,                 1.0405,                0.93756,                0.81762,                0.90023,                0.75638,                      0,                    inf,                      0,               0.009274,               0.009274,               0.009274
